id;name;street;city;zipcode;floors;year;parking;prob_price;views
498667;Супермаркет 72;Варшавская улица 47;Лас-Росас;587171;7;1794;True;821639827;61299
339996;Ангар 95;Речная улица 65;Малага;806405;10;1778;False;14879987;63482
530849;Кошара 18;Петербургская улица 29;Мартоса;950484;3;1794;True;953723640;38272
447291;Убежище 74;Горная улица 48;Сантьяго-де-Компостела;755671;6;1656;True;254579494;98897
975065;Мансарда 73;Школьная улица 7;Алма-Ата;372080;8;1920;True;890353728;87282
719445;Мостки 78;Парковая улица 19;Сантьяго-де-Компостела;350910;4;1681;True;585869337;54278
245198;Парк 81;Зеленая улица 7;Вильявисиоса;570578;10;1823;False;932865072;93493
191912;Супермаркет 41;Полевая улица 57;Малага;859642;2;1804;False;566847027;97132
454939;Силок 5;Осенняя улица 12;Сан-Себастьян;627377;2;1634;True;866954908;71387
336372;Фазенда 85;Варшавская улица 72;Овьедо;988272;10;1639;True;386653965;61937
513042;Усадьба 14;Спортивная улица 10;Аликанте;907974;3;1860;True;597199772;6161
713692;Шмелиное гнездо 18;Минская улица 30;Белград;971921;4;1859;False;695929164;29348
258496;Пасека 29;Осенняя улица 42;Тудела;548064;8;1858;True;55846411;48374
846196;Верблюжатник 8;Вроцлавская улица 4;Мадрид;892446;6;1841;True;850647801;34018
527002;Кафе 78;Лесная улица 25;Монсон;973948;2;1889;False;759938441;19978
610373;Жилой дом 16;Зимняя улица 89;Фигерас;691153;8;1994;False;627694445;44356
116491;Музей 7;Садовая улица 26;Сеговия;794138;3;1783;True;453713563;38596
228564;Автомойка 75;Полевая улица 49;Севилья;945723;7;1747;True;103577142;22962
788012;Особняк 49;Краковская улица 18;Эль-Пуэрто-де-Санта-Мария;372230;7;1705;True;333798442;17450
206290;Супермаркет 1;Юбилейная улица 42;Малага;537946;7;1759;False;915119722;98465
727903;Курятник 20;Садовая улица 51;Киев;992986;8;1960;False;580291631;65868
396367;Театр 35;Полевая улица 88;Сеговия;490746;1;1948;False;950479673;100
108817;Фазенда 57;Речная улица 96;Эльче;157498;8;1773;False;72000596;55534
513499;Лестница 90;Парковая улица 84;Пласенсия;680469;2;1870;True;679570153;48052
763309;Бункер 42;Минская улица 37;Таллин;361677;9;1705;False;565110741;34795
477239;Порт 49;Осенняя улица 4;Баку;293116;5;1822;True;129486225;48909
349579;Бомбоубежище 93;Вроцлавская улица 49;Картахена;354543;1;1685;False;783369243;3694
843337;Силок 17;Петербургская улица 64;Бильбао;519352;3;1966;False;220785712;23154
897561;Фабрика 59;Парковая улица 55;Льейда;933064;1;1987;True;32892072;79471
823948;Башня 2;Полевая улица 23;Махадаонда;371980;7;1861;False;899118927;43329
572752;Пандус 46;Киевская улица 37;Бургос;641816;8;1608;True;16782852;21595
417536;Банк 27;Лесная улица 71;Хельсинки;445885;3;1922;True;123115142;86166
738837;Дупло 100;Юбилейная улица 43;Валенсия;390493;4;1720;False;613865681;94749
806314;Утятник 84;Спортивная улица 8;Эль-Пуэрто-де-Санта-Мария;645568;8;1768;True;404448684;47514
546884;Банк 77;Центральная улица 42;Кишинев;158176;2;1697;True;516794032;93842
604180;Маяк 82;Центральная улица 56;Бишкек;852560;4;1608;False;858943363;76045
275800;Жилой дом 69;Зимняя улица 79;Астана;465860;4;1614;True;704061415;6424
278901;Газопровод 58;Лесная улица 63;Бишкек;356292;10;1643;False;937249243;28116
935653;Порт 85;Солнечная улица 23;Эль-Пуэрто-де-Санта-Мария;402771;1;1796;True;21342041;19965
455192;Нора 100;Спортивная улица 67;Хельсинки;485905;5;2008;False;445985048;81532
233657;Хаус 74;Полевая улица 74;Камбадос;227980;8;1743;True;927248320;42341
440062;Сеть 67;Спортивная улица 66;Барселона;251945;5;1860;False;406199598;3472
250477;Пасека 98;Морская улица 58;Валенсия;189703;6;1902;True;644983469;37663
789792;Ресторан 2;Минская улица 5;Гранада;747303;9;1898;True;460595589;75459
572182;Аэропорт 25;Речная улица 74;Любляна;452958;10;1831;False;805054358;12615
223799;Крольчатник 29;Спортивная улица 44;Вильявисиоса;241920;5;1696;False;310357601;34230
358502;Эскалатор 84;Морская улица 6;Астана;170866;4;1670;True;830408087;18355
388366;Пасека 75;Центральная улица 97;Тарраса;419582;8;1964;False;537713565;89528
857073;Особняк 51;Вроцлавская улица 3;Санкт-Петербург;374984;10;1813;True;784181375;45300
479872;Академия 46;Осенняя улица 89;Виго;718473;2;1779;True;198094117;44575
885907;Университет 70;Спортивная улица 41;Лас-Росас;641962;8;1775;False;261263020;51882
835291;Лежбище 31;Вроцлавская улица 20;Загреб;736728;9;1896;True;502534563;65317
802460;Особняк 16;Солнечная улица 91;Сантьяго-де-Компостела;377386;1;1827;False;399216628;96185
946500;Муравейник 9;Полевая улица 29;Бланес;204828;9;1625;False;841931950;76744
525486;Пасека 93;Речная улица 3;Семана;728569;1;1951;False;850978372;31751
121782;Улей 79;Морская улица 24;Сараево;144040;8;1848;False;776728489;22544
189941;Чердак 5;Осенняя улица 100;Санкт-Петербург;554641;7;1801;False;66485329;26381
327692;Дупло 17;Спортивная улица 14;Ташкент;870989;2;1900;True;368216739;87877
254540;Лестница 30;Солнечная улица 33;Лас-Росас;128161;9;1960;False;911708445;74060
175216;Док 44;Зеленая улица 80;Кадакес;415374;7;1752;True;914065839;54864
691876;Торговый центр 22;Школьная улица 27;София;889778;10;1700;False;131908461;85858
602044;Нефтепровод 38;Морская улица 82;Тудела;888883;5;1639;False;736857342;42945
226401;Супермаркет 26;Осенняя улица 34;Навалькарнеро;520885;9;1724;True;56119281;3246
572021;Переправа 15;Полевая улица 3;Тирана;495491;3;1878;False;986547219;13426
906316;Канализация 22;Речная улица 82;Варшава;150424;4;1728;True;861539596;81126
974459; Вилла 81;Зимняя улица 37;Картахена;295936;6;1844;False;932780687;22890
718972;Подвал 8;Парковая улица 90;Краков;694114;6;1773;False;417667495;21991
655514;Эскалатор 28;Спортивная улица 35;Сеговия;222788;1;1959;True;305354889;11885
530121;Коттедж 47;Вроцлавская улица 44;Артейхо;236814;3;1938;True;73452109;22536
920349;Башня 71;Зимняя улица 70;Ла-Корунья;720254;4;1849;False;322844041;23253
286245;Цирк 26;Вроцлавская улица 26;Кадакес;528976;4;1687;False;395811089;39801
575429;Тоннель 85;Юбилейная улица 47;Осера;324387;4;1731;True;759437685;64629
926917;Переправа 65;Петербургская улица 91;Рига;944290;5;1739;True;700349814;48006
606750;ТЭЦ 2;Минская улица 29;Баку;517758;9;1645;False;384392398;11436
417347;Лестница 80;Солнечная улица 20;Хихон;954150;8;2008;False;87446620;12901
742269;Пирс 29;Спортивная улица 75;Санкт-Петербург;861423;2;1936;True;566882479;38235
680784;Верблюжатник 17;Варшавская улица 14;Санхенхо;966497;4;1869;True;943930984;60532
953481;Ресторан 77;Спортивная улица 29;Навалькарнеро;584317;2;2005;True;425337345;2741
380134;Верфь 8;Садовая улица 15;Вильнюс;465803;3;2000;False;813536138;19909
570844;Конюшня 94;Юбилейная улица 35;Вильявисиоса;972679;2;1908;True;714087728;49921
453032;Ангар 24;Школьная улица 87;Сараево;882837;8;1831;True;73050410;87107
694608;Склад 60;Осенняя улица 19;Бургос;302169;4;1800;False;529035613;61795
989398;Мансарда 32;Летняя улица 10;Вильявисиоса;254611;6;1928;False;273853055;90564
683336;Коттедж 33;Осенняя улица 91;Рига;687846;8;1972;False;385403903;79460
914049;Верблюжатник 56;Зимняя улица 21;Ла-Корунья;541335;4;1930;False;548098741;86987
469678;Петля 44;Минская улица 55;Алькала-де-Энарес;669188;10;1619;True;61938155;3562
675368;Термитник 73;Весенняя улица 12;Бургос;566345;4;1929;True;688053349;53716
114676;Скворечник 15;Речная улица 18;Осера;631852;2;1766;True;579163848;19152
959047;Отель 46;Киевская улица 58;Сьюдад-Реаль;269057;9;1670;True;65473606;28040
