id;name;city;begin;system;tours_count;min_rating;time_on_game
199573;Лондон 1951;Краков;14.02;Swiss;13;2540;161
757578;Сент-Луис 2020;Вальядолид;11.08;Swiss;14;2493;64
143826;Алушта 1978;Скопье;23.04;circular;7;2319;149
184223;Пойковский 2023;Льейда;11.06;Olympic;14;2566;69
220963;Политика 2010;Авилес;04.06;circular;7;2264;38
681292;Алушта 2008;Аликанте;12.12;Olympic;9;2272;90
892031;Сент-Луис 1972;Ташкент;23.03;Olympic;14;2648;56
711898;Пойковский 1979;Вильнюс;08.01;Olympic;11;2516;51
656864;Сент-Луис 1959;Сьюдад-Реаль;06.11;Olympic;7;2447;127
467374;Линарес 1974;Барселона;02.10;Swiss;13;2496;145
466381;Хогевен 1980;Ла-Корунья;18.10;Swiss;7;2212;179
922385;Линарес 1976;София;02.01;circular;14;2463;66
380977;Биль 1974;Подгорица;20.05;circular;10;2568;27
889242;Политика 1965;Прага;06.01;Olympic;11;2398;168
649095;Гашиш 2015;Любляна;24.05;Swiss;7;2357;15
432078;Пойковский 1997;Бланес;15.05;Swiss;8;2523;29
212368;Европа 2014;Овьедо;22.04;Swiss;13;2227;82
616855;Лондон 1957;Вильявисиоса;06.12;Swiss;6;2292;138
269227;Турнир претендентов 2011;Киев;25.06;Olympic;11;2202;115
451189;Вена 2006;Тарраса;11.03;Swiss;8;2260;63
728289;Гашиш 1985;Тбилиси;09.09;Swiss;12;2276;88
944622;Гран-при ФИДЕ 2022;Санхенхо;07.10;circular;14;2500;94
142759;Sinquefield Cup 1992;Барселона;04.09;circular;7;2646;75
444456;Политика 2000;Луарка;01.07;Olympic;10;2494;21
373979;Кубок мира 2016;Баку;02.08;Olympic;8;2600;59
493748;Алушта 1987;Луарка;06.04;circular;8;2222;87
834181;Дортмунд 1972;Белград;01.04;Swiss;9;2419;158
268180;Аэрофлот Опен 2001;Вильнюс;17.04;Swiss;13;2388;25
511351;Аэрофлот Опен 2021;Тарраса;28.06;circular;14;2321;100
919056;Пойковский 1970;Тбилиси;20.06;Olympic;12;2591;24
165318;Европа 2015;Малага;13.03;circular;10;2553;115
144911;Европа 1951;Барселона;10.07;Olympic;11;2611;157
126890;Пойковский 1953;Варшава;27.08;Olympic;7;2380;164
325480;Вейк-ан-Зее 1950;Ла-Корунья;22.12;circular;7;2273;25
751396;Вена 1986;Киев;27.11;circular;6;2549;165
673646;Гран-при ФИДЕ 2019;Баку;18.01;circular;14;2295;142
343322;Биль 2007;Фигерас;27.09;Olympic;10;2249;145
784018;Пойковский 1997;Киев;10.11;circular;9;2234;23
370938;Sinquefield Cup 1953;Белград;14.06;Swiss;10;2326;153
502400;Тилбург 1997;Бишкек;28.04;circular;9;2632;23
786446;Сент-Луис 2000;Барселона;18.01;Olympic;9;2298;86
640547;Гран-при ФИДЕ 2010;Краков;27.11;Olympic;14;2519;157
213544;Чемпионат мира 2006;Картахена;24.08;Swiss;6;2557;79
205444;Цюрих 1982;Навалькарнеро;12.06;Swiss;11;2233;172
254988;Сент-Луис 1981;Киев;06.08;Olympic;14;2483;89
985354;Цюрих 1973;Скопье;07.01;circular;13;2416;149
520313;Ставангер 2013;Бургос;27.10;Swiss;9;2578;36
530361;Пальма 2015;Эль-Пуэрто-де-Санта-Мария;16.05;circular;8;2472;134
761874;Биль 1996;Бишкек;28.04;circular;6;2477;110
744840;Ставангер 1998;Картахена;12.06;Olympic;14;2361;122
841229;Европа 2017;Будапешт;24.10;Olympic;6;2343;39
541114;Биль 1975;Вильявисиоса;09.02;Swiss;8;2518;61
775279;Чемпионат мира 1983;Тудела;11.07;Swiss;9;2242;168
322397;Кубок мира 2000;Астана;21.10;Swiss;9;2634;64
798556;Лондон 2024;Артейхо;28.05;Swiss;8;2631;86
895100;Европа 1983;Кишинев;19.10;circular;9;2249;180
858306;Политика 1985;Любляна;01.08;circular;10;2533;66
601293;Мемориал Таля 2008;Варшава;13.12;Swiss;7;2495;15
898330;Хогевен 1959;Эльче;21.07;Swiss;10;2574;62
288029;Хогевен 2011;Барселона;15.12;Olympic;8;2338;179
146524;Гашиш 2006;Малага;06.10;circular;10;2403;27
746021;Сент-Луис 2006;Самора;24.01;Olympic;11;2260;86
988482;Чемпионат мира 2024;Кадакес;06.06;Olympic;8;2273;161
670819;Гашиш 1975;Минск;17.11;Swiss;9;2374;41
142629;Тилбург 2005;Махадаонда;14.02;Olympic;14;2236;109
393809;Балтийская цепь 2005;Сан-Себастьян;08.07;Swiss;11;2563;108
429596;Чемпионат мира 1980;Подгорица;20.09;circular;15;2266;33
842857;Гран-при ФИДЕ 1973;Лас-Росас;04.12;Olympic;15;2338;115
578874;Чемпионат мира 2007;Малага;05.01;Olympic;7;2393;52
856025;Биль 2003;Бургос;02.01;Olympic;9;2242;17
680508;Линарес 1972;Малага;07.04;Olympic;10;2610;134
773975;Реджо-нель-Эмилия 1983;Ташкент;16.11;circular;9;2649;37
177535;Тилбург 1972;Малага;19.12;Olympic;12;2641;141
505208;Sinquefield Cup 2008;Скопье;01.01;Swiss;15;2567;102
959413;Макартур 1966;Льейда;07.12;Swiss;7;2530;51
919437;Гашиш 1951;Камбадос;27.04;Olympic;11;2545;115
246722;Линарес 1986;Барселона;03.10;Swiss;10;2281;57
903287;Пальма 1964;Рига;01.05;Olympic;14;2307;91
810009;Балтийская цепь 1952;Овьедо;18.06;Olympic;13;2649;159
868333;Макартур 1984;Тудела;24.11;Olympic;15;2351;124
