title;author;genre;pages;published_year;isbn;rating;views
Волхв;Юстейн Гордер;роман;425;1985;189-4092737759;2.7;21557
Страх и отвращение в Лас-Вегасе;Эрнест Хемингуэй;научная фантастика;357;1820;614-4936130382;1.4;34210
Молот ведьм;Габриэль Гарсиа Маркес;детектив;138;2007;625-3350436240;1.8;66740
Неукротимый;Лев Толстой;триллер;348;1815;402-8614319091;2.2;23255
Котлован;Станислав Лем;любовный роман;188;1848;269-6362974377;2.1;85240
Идиот;Марк Твен;детская литература;349;2007;405-2815423810;1.8;1229
Колыбель для кошки;Исаак Бабель;любовный роман;189;1862;797-5879511863;4.3;15681
Эпоха невинности;Артур Конан Дойл;исторический роман;374;1863;168-3202590076;4.6;17628
Франкенштейн;Алексей Толстой;фэнтези;274;1875;599-9465955497;0.9;13445
Ярмарка тщеславия;Алексей Толстой;детская литература;368;1836;463-9294378658;2.3;65391
Прощай, оружие;Жюль Верн;научная фантастика;135;1946;265-9964178714;1.8;32402
Рассказ мертвецов;Дж. Р. Р. Толкин;исторический роман;193;1895;890-2677924719;0.5;98306
Планета обезьян;Синклер Льюис;триллер;252;1828;387-6291979623;4.1;18741
Гарри Поттер и Философский камень;Умберто Эко;роман;166;1888;637-2246553021;4.9;56414
Преступление и наказание;Марк Твен;триллер;388;1896;477-3888916853;2.5;9283
Три товарища;Оскар Уайльд;детская литература;388;1814;616-4479647861;4.3;18157
Сквозь время;Эрих Мария Ремарк;биография;470;1922;830-6539155469;1.8;14183
Молот ведьм;Эрих Мария Ремарк;детская литература;473;1892;910-2830563988;0.9;16424
На игле;Джон Фаулз;детская литература;136;1978;233-5556994470;2.8;80524
Бегущий по лезвию;Сигрид Унсет;триллер;449;1988;396-4779337729;2.3;28404
Волхв;Николай Гоголь;триллер;142;1910;560-1607574761;0.1;19509
Неукротимый;Харпер Ли;исторический роман;351;1901;240-6298705360;1.6;22919
Страх и отвращение в Лас-Вегасе;Оскар Уайльд;приключения;133;1868;164-4876521437;3.3;24183
Приключения Гекльберри Финна;Фрэнсис Скотт Фицджеральд;любовный роман;333;1995;693-5272507141;4.0;4597
Кандида;Жюль Верн;биография;276;1893;574-8745174329;0.3;6484
Заводной апельсин;Синклер Льюис;научная фантастика;198;2001;751-5020355814;1.8;65721
Эпоха невинности;Борис Пастернак;исторический роман;257;1972;844-2943949921;3.6;65345
Дракула;Николай Гоголь;фэнтези;425;1812;617-9599803246;3.9;79589
Рассказ мертвецов;Борис Пастернак;фэнтези;489;1977;139-4688080092;2.8;56603
Идиот;Иван Тургенев;роман;294;2018;960-3966511159;1.1;28155
Автостопом по галактике;Джейн Остин;триллер;128;2009;858-7867958400;0.8;89084
Дракула;Алан Александр Милн;детская литература;219;2020;156-4437212860;1.9;70553
Алхимик;Харуки Мураками;исторический роман;102;1835;321-2603700445;4.8;18331
Повелитель мух;Иван Тургенев;роман;354;1869;285-7882183169;4.4;61675
Маленький принц;Исаак Бабель;приключения;336;1847;820-1145255601;3.6;40374
Фауст;Алексей Толстой;триллер;321;1838;408-7170891353;3.8;72864
Лолита;Тед Хьюз;приключения;111;1815;142-5469585502;0.8;62444
Большие надежды;Уильям Голдинг;любовный роман;297;2019;668-1277717952;1.6;1129
Рассказ мертвецов;Колин Маккалоу;детектив;333;1901;438-7768275542;1.1;62166
Вещие сестрички;Иван Тургенев;триллер;180;1986;564-7096768352;2.1;46606
Бегущий по лезвию;Дж. Р. Р. Толкин;приключения;339;2006;446-1284219391;3.9;6666
Ватек;Умберто Эко;исторический роман;408;1825;652-3928948136;3.5;45627
Три товарища;Оскар Уайльд;детектив;363;2000;236-5104291637;4.9;3129
Лолита;Джек Лондон;исторический роман;366;1818;489-4911498665;3.4;70312
Гарри Поттер и Философский камень;Джек Лондон;научная фантастика;355;1843;965-4682128185;3.7;93641
Сквозь время;Алексей Толстой;детская литература;233;1814;381-4389187028;0.7;98291
Война и мир;Патрик Зюскинд;биография;484;2021;645-4888360307;0.8;67021
Молот ведьм;Николай Гоголь;роман;306;1983;519-3345674925;3.2;82450
Человек-невидимка;Тед Хьюз;научная фантастика;217;1889;879-8425968342;2.4;42094
Портрет Дориана Грея;Александр Пушкин;биография;333;1935;156-9304738012;1.0;18719
Скотный двор;Владимир Набоков;научная фантастика;117;1964;284-7868059384;3.4;57754
Фауст;Колин Маккалоу;фэнтези;349;1926;364-2849701037;3.9;97771
Американские горки;Уильям Голдинг;фэнтези;256;1997;787-6787404375;4.2;84755
Неукротимый;Габриэль Гарсиа Маркес;роман;487;1818;878-1792823507;3.6;66113
Маленький принц;Патрик Зюскинд;биография;100;1969;132-9319485892;4.5;68557
Старик и море;Эрих Мария Ремарк;детектив;239;1967;883-9043539355;1.4;63913
Сумерки;Иэн Бэнкс;любовный роман;191;2002;655-6484926909;1.5;60768
О дивный новый мир;Фрэнсис Скотт Фицджеральд;детектив;421;1915;570-3533199435;4.4;76089
О дивный новый мир;Умберто Эко;любовный роман;416;1800;190-4442268010;3.0;57186
Маленький принц;Иэн Бэнкс;роман;286;1943;383-3407907645;1.5;12755
Франкенштейн;Антон Чехов;научная фантастика;383;1827;650-4043634584;4.6;20797
