name;place;prise
Реджо-нель-Эмилия 1984;12;12207
Политика 1967;0;10000000
Пойковский 1955;13;4883
Реджо-нель-Эмилия 1958;2;11250000
Чемпионат мира 2000;7;140625
Европа 1984;6;187500
Вена 2009;9;29297
Лондон 1964;0;30000000
Ставангер 1999;3;4750000
Реджо-нель-Эмилия 1984;5;1562500
Кубок мира 1967;2;6250000
Хогевен 2016;0;34000000
Реджо-нель-Эмилия 1962;2;12000000
Реджо-нель-Эмилия 1984;6;781250
Макартур 2010;4;2187500
Реджо-нель-Эмилия 1962;5;1500000
Политика 1956;2;5000000
Чемпионат мира 1978;13;2197
Вена 1957;2;1750000
Макартур 2022;5;1562500
Макартур 1975;11;17578
Чемпионат мира 2000;3;2250000
Гран-при ФИДЕ 1991;1;16000000
Кубок мира 2024;8;35156
Пойковский 1989;7;70312
Балтийская цепь 1956;9;37109
Европа 1953;2;4750000
Балтийская цепь 1999;8;89844
Кубок мира 2024;1;4500000
Лондон 1982;10;46875
Чемпионат мира 1957;2;750000
Пальма 1992;6;671875
Чемпионат мира 1978;4;1125000
Гашиш 1970;2;4750000
Линарес 1969;10;2930
Цюрих 1983;1;1000000
Пальма 2000;6;78125
Чемпионат мира 1957;0;3000000
Вейк-ан-Зее 1999;1;17000000
Аэрофлот Опен 1962;5;1437500
Кубок мира 2019;2;11250000
Вена 1976;4;250000
Мемориал Таля 1955;1;6500000
Чемпионат мира 1969;11;4883
Гашиш 1970;2;4750000
Макартур 1975;13;4395
Чемпионат мира 1976;1;7500000
Турнир претендентов 2004;5;125000
Гран-при ФИДЕ 2010;6;203125
Сент-Луис 2006;10;8789
Реджо-нель-Эмилия 1954;4;187500
Цюрих 1989;7;335938
Вена 1960;1;15000000
Реджо-нель-Эмилия 1984;11;24414
Реджо-нель-Эмилия 2005;5;531250
Политика 1967;2;2500000
Гран-при ФИДЕ 2006;4;687500
Чемпионат мира 2000;9;35156
Пальма 1991;4;1062500
Гашиш 1970;1;9500000
Вейк-ан-Зее 1969;8;179688
Турнир претендентов 1999;1;4500000
Гран-при ФИДЕ 2006;12;2686
Пальма 1992;3;5375000
Линарес 2024;4;3000000
Хогевен 2007;3;3250000
