artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Chris Brown;Run It! (feat. Juelz Santana);229866;2005;100.969;hip hop, pop, R&B;0.482;1;-6.721
Jordin Sparks;Battlefield;241920;2009;144.953;pop, R&B;0.634;2;-3.472
Rihanna;Where Have You Been;242680;2011;127.963;hip hop, pop, R&B;0.847;0;-6.34
Kesha;Blah Blah Blah (feat. 3OH!3);172053;2010;120.003;pop, Dance/Electronic;0.836;10;-3.173
Delta Goodrem;Lost Without You;248546;2003;146.301;pop;0.747;7;-6.682
Nicki Minaj;Bed Of Lies;269946;2014;86.01;hip hop, pop;0.67;11;-5.779
Jack Ü;Where Are Ü Now (with Justin Bieber);250285;2015;139.432;pop, Dance/Electronic;0.781;4;-4.038
Kiesza;Hideaway;251986;2014;122.993;pop, Dance/Electronic;0.72;7;-4.135
James Morrison;I Won't Let You Go;229303;2011;105.955;pop, R&B;0.611;0;-6.427
XXXTENTACION;SAD!;166605;2018;75.023;hip hop;0.613;8;-4.88
Fabolous;Make Me Better;253573;2007;86.491;hip hop, pop, R&B;0.599;11;-6.886
Taylor Swift;You Belong With Me;231146;2008;129.964;pop;0.771;6;-4.424
Will Smith;Switch;197666;2020;102.516;hip hop, pop;0.9;5;-4.325
Baby Bash;Baby, I'm Back;219920;2005;100.01;hip hop, pop, R&B, latin;0.365;9;-5.461
Sean Paul;We Be Burnin';213066;2005;117.0;hip hop, pop;0.803;1;-4.195
BLACKPINK;Kill This Love;189052;2019;131.98;pop;0.861;2;-4.141
Cobra Starship;You Make Me Feel... (feat. Sabi);215693;2011;131.959;pop, Dance/Electronic;0.857;7;-2.944
Rob Thomas;Lonely No More;226640;2005;171.79;pop, Folk/Acoustic;0.896;9;-3.152
Pitbull;I Know You Want Me (Calle Ocho);237120;2009;127.045;hip hop, pop, latin;0.743;2;-5.995
The Chainsmokers;Sick Boy;193200;2018;89.996;pop, Dance/Electronic;0.577;11;-7.518
Lil Nas X;Old Town Road;113000;2019;135.998;hip hop, pop;0.53;1;-6.112
Red Hot Chili Peppers;Can't Stop;269000;2002;91.455;rock;0.938;9;-3.442
Travie McCoy;Billionaire (feat. Bruno Mars);211160;2010;86.776;hip hop, pop;0.673;6;-6.403
Blue;All Rise;223546;2001;97.996;pop;0.737;5;-2.734
Timbaland;Apologize;184400;2007;118.016;hip hop, pop, R&B;0.604;8;-6.017
Chris Brown;New Flame (feat. Usher & Rick Ross);244226;2014;141.967;hip hop, pop, R&B;0.629;1;-4.292
MAGIC!;Rude;224840;2014;144.033;set();0.758;1;-4.993
Dr. Dre;The Next Episode;161506;1999;95.295;hip hop;0.909;10;-2.429
Nelly;Ride Wit Me;291781;2000;101.875;hip hop, pop, R&B;0.7;7;-6.49
Ciara;Get Up (feat. Chamillionaire);261880;2006;128.593;pop, R&B;0.595;1;-6.887
Kylie Minogue;Love at First Sight;238266;2001;124.994;pop, Dance/Electronic;0.774;3;-6.066
Green Day;21 Guns;321093;2009;159.779;rock;0.742;5;-4.939
Blake Shelton;Honey Bee;210720;2011;205.57;country;0.849;4;-5.131
Diddy;Come to Me (feat. Nicole Scherzinger);276786;2006;96.998;hip hop, pop;0.485;6;-6.45
The Pussycat Dolls;When I Grow Up;245680;2008;118.449;pop, R&B;0.685;11;-5.762
Kylie Minogue;Spinning Around;207866;2000;120.043;pop, Dance/Electronic;0.662;6;-7.645
Dr. Dre;Forgot About Dre;222293;1999;133.974;hip hop;0.74;8;-1.299
Fedde Le Grand;Put Your Hands Up for Detroit - Radio Edit;150533;2015;127.919;pop, Dance/Electronic;0.923;7;-4.525
Rihanna;What's My Name?;263173;2010;100.025;hip hop, pop, R&B;0.786;2;-2.959
Usher;Love in This Club (feat. Young Jeezy);259720;2008;140.012;hip hop, pop, R&B;0.712;0;-5.976
DJ Fresh;Hot Right Now (feat. RITA ORA) - Radio Edit;182333;2012;175.017;pop, Dance/Electronic;0.972;4;-1.569
Mumford & Sons;Little Lion Man;245173;2009;138.585;Folk/Acoustic, rock, pop;0.492;5;-8.05
David Guetta;Bang My Head (feat. Sia & Fetty Wap);193333;2015;108.061;hip hop, pop, Dance/Electronic;0.869;0;-3.697
Chase & Status;Blind Faith;233666;2011;140.042;Dance/Electronic;0.846;9;-4.712
Keri Hilson;Turnin Me On - Original Dirty;248066;2008;159.873;pop, R&B;0.584;1;-5.09
Florence + The Machine;Spectrum (Say My Name) - Calvin Harris Remix;218190;2011;126.092;rock, pop, Dance/Electronic;0.946;11;-3.85
Keri Hilson;Pretty Girl Rock;243920;2010;160.014;pop, R&B;0.87;11;-5.004
Chingy;Right Thurr;250746;2003;92.074;hip hop, pop, R&B;0.749;2;-3.977
Swedish House Mafia;Save The World;213337;2011;126.879;pop, Dance/Electronic;0.665;0;-7.598
ZAYN;PILLOWTALK;203686;2016;124.909;pop, Dance/Electronic;0.702;11;-4.271
Flo Rida;GDFR (feat. Sage the Gemini & Lookas);190185;2015;145.889;hip hop, pop;0.827;5;-4.036
Gareth Gates;Anyone of Us (Stupid Mistake);227866;2003;106.986;pop;0.72;1;-6.061
Ruff Endz;No More;242560;2000;97.004;R&B;0.641;10;-5.669
P!nk;U + Ur Hand;214386;2006;141.04;pop;0.891;0;-3.688
INNA;Hot - Play & Win Radio Version;217036;2010;128.0;pop;0.939;7;-6.079
Jonas Brothers;Sucker;181026;2019;137.958;pop;0.734;1;-5.065
Cardi B;Please Me;200889;2019;133.992;hip hop, pop;0.57;1;-6.711
Ludacris;Money Maker;230613;2006;78.756;hip hop, pop;0.598;1;-6.79
The Offspring;You're Gonna Go Far, Kid;177826;2008;126.115;rock, pop, metal;0.917;0;-3.159
Usher;My Boo;223440;2004;86.412;hip hop, pop, R&B;0.507;5;-8.238
Mis-Teeq;Scandalous - U.S. Radio Edit;238840;2004;99.971;pop, Dance/Electronic;0.668;0;-3.935
Desiigner;Tiimmy Turner;239853;2016;122.803;hip hop, pop;0.725;6;-3.054
Disclosure;Latch;255631;2013;121.985;pop, Dance/Electronic;0.727;1;-5.456
Flo Rida;Club Can't Handle Me (feat. David Guetta);234560;2010;127.966;hip hop, pop;0.869;0;-3.911
Childish Gambino;3005;235662;2013;82.92;hip hop;0.463;6;-6.542
Snoop Dogg;Beautiful;299146;2005;101.025;hip hop, pop;0.74;11;-4.936
Bastille;Good Grief;206493;2016;120.041;pop, rock;0.758;1;-4.888
Selena Gomez & The Scene;Who Says;195613;2011;101.019;pop, Dance/Electronic;0.927;4;-2.915
Justin Timberlake;Mirrors;484146;2013;76.899;pop;0.512;5;-6.664
Scissor Sisters;Comfortably Numb;266040;2004;116.972;pop, rock, Dance/Electronic;0.924;7;-6.466
E-40;U and Dat (feat. T. Pain & Kandi Girl);202720;2006;99.992;hip hop, pop;0.484;6;-7.448
Mustard;Pure Water (with Migos);192470;2019;202.015;hip hop, pop;0.559;0;-5.545
Cam’ron;Oh Boy;204706;2002;83.014;hip hop, pop;0.767;6;-5.586
Justin Timberlake;Like I Love You;283626;2002;114.964;pop;0.811;6;-4.927
David Guetta;When Love Takes Over (feat. Kelly Rowland);191000;2010;129.967;hip hop, pop, Dance/Electronic;0.862;11;-4.614
Demi Lovato;Give Your Heart a Break;205346;2011;123.008;pop;0.695;6;-3.218
Ed Sheeran;Take Me Back to London (feat. Stormzy);189733;2019;138.058;pop;0.762;8;-5.513
Otto Knows;Million Voices - Radio Edit;192866;2012;125.946;pop, Dance/Electronic;0.894;8;-6.298
Anastacia;Left Outside Alone;257426;2004;102.847;pop;0.746;2;-3.567
Shakira;Whenever, Wherever;196160;2001;107.657;pop, latin;0.832;1;-4.862
Justin Timberlake;"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")";236001;2016;113.03;pop;0.83;0;-5.715
Cashmere Cat;Miss You (with Major Lazer & Tory Lanez);186231;2018;100.028;pop, rock;0.641;1;-4.502
Black Eyed Peas;Hey Mama;214893;2003;100.15;hip hop, pop;0.866;4;-6.345
Dave;Location (feat. Burna Boy);241293;2019;109.979;hip hop;0.496;9;-5.969
Ariana Grande;The Way;227026;2013;82.324;pop;0.878;5;-3.208
B2K;Bump, Bump, Bump (feat. P. Diddy);282773;2003;95.508;hip hop, pop, R&B;0.68;1;-6.02
Craig David;7 Days;235133;2000;83.014;hip hop, pop, R&B;0.812;4;-7.499
Ronan Keating;Life Is A Rollercoaster;234826;2000;118.981;pop, rock;0.791;0;-8.923
Clean Bandit;Rather Be (feat. Jess Glynne);227833;2014;120.97;pop, Dance/Electronic;0.586;11;-6.735
*NSYNC;Bye Bye Bye;200560;2000;172.656;pop;0.928;8;-4.806
The Fray;Never Say Never;256613;2009;160.139;pop;0.492;8;-5.767
