name;price;quantity;fromCity;isAvailable;views
WD Blue HDD;86295;21;Ереван;True;38505
NVIDIA GeForce GTX 1050;73432;43;Алма-Ата;True;93500
superb level;68.39;936;tools;Махадаонда;False;13562
superb saw;39.26;874;tools;Вальядолид;False;23231
delightful plumbing;74.97;1015;tools;Ла-Корунья;False;76791
attractive nail file;52.79;783;cosmetics;Сория;False;95817
stylish papaya;44.88;884;fruit;Монсон;True;49163
AMD Ryzen 5;60118;57;Тирана;False;45245
Kingston Canvas Select Plus;94444;28;Аликанте;False;76288
magnificent paint;74.09;638;tools;Мартоса;True;28067
delightful moisturizer;52.36;596;cosmetics;Вильнюс;False;13724
delightful shampoo;93.31;1025;cosmetics;Вальядолид;False;58723
Intel Core i5;80018;72;Афины;True;40175
Razer Variau;81113;30;София;False;9092
glamorous moustache wax;34.0;654;cosmetics;Кадакес;True;95386
Corsair HS60;30040;33;Сьюдад-Реаль;True;58134
gorgeous saw;30.69;751;tools;Бланес;False;69213
magnificent exfoliator;67.26;647;cosmetics;Варшава;True;14760
luxurious pedicure set;66.53;737;cosmetics;Санхенхо;False;96712
Intel Core i5;29864;65;Хихон;True;11462
HyperX DDR4 RAM;73235;18;Вальядолид;False;43732
Brother DCP-T510W;64698;16;Мерида;False;79481
pleasant insulation;94.38;496;tools;Алма-Ата;True;2028
tasteful peach;83.11;918;fruit;Подгорица;True;66676
EVGA 500B 80+ BRONZE;73857;63;Барселона;True;42552
amazing nails;29.03;813;tools;Сория;False;83112
NVIDIA GeForce GTX 1050;63126;46;Тирана;True;29785
trendy plum;99.38;495;fruit;Белград;False;98175
pretty roofing;30.57;968;tools;Малага;True;78742
HP LaserJet Pro;52399;42;Малага;False;46791
exquisite raspberry;66.01;805;fruit;Таллин;True;4352
luxurious baby shampoo;24.19;822;cosmetics;Тбилиси;True;82152
NVIDIA GeForce GTX 1050;45629;35;Виго;False;58327
EVGA 500B 80+ BRONZE;61349;35;Краков;True;70367
Ricoh Aficio MP;50082;55;Вальядолид;True;7989
pleasant ladder;10.66;690;tools;Санхенхо;True;62218
delightful apple;70.58;590;fruit;Москва;False;77758
refined moustache wax;21.55;934;cosmetics;Вильявисиоса;False;48712
HP LaserJet Pro;61200;23;Загреб;False;58666
luxurious cranberry;76.29;622;fruit;Вильнюс;True;38320
Logitech Wireless Keyboard;80419;51;Бишкек;True;93166
gorgeous cherry;96.67;690;fruit;Сеговия;True;86178
tasteful bubble bath;12.07;695;cosmetics;Вальядолид;True;23351
Kingston Canvas Select Plus;37833;20;Махадаонда;True;42301
Samsung 970 EVO SSD;71209;23;Мерида;False;15514
HP LaserJet Pro;17944;72;Аликанте;False;67786
magnificent sunscreen;69.98;736;cosmetics;Кордова;False;41027
tasteful baby shampoo;13.17;966;cosmetics;Барселона;False;24040
superb strawberry;22.36;538;fruit;Тарраса;False;89747
Ricoh Aficio MP;78801;40;Кишинев;True;27057
exquisite pineapple;15.98;792;fruit;Сараево;True;54417
amazing moisturizer;10.64;593;cosmetics;Вроцлав;True;35244
nice wheelbarrow;71.39;734;tools;Овьедо;True;77921
HyperX DDR4 RAM;77782;47;Хихон;False;72002
pleasant makeup remover;74.24;749;cosmetics;Луарка;False;75331
sublime toner;49.37;966;cosmetics;Лас-Росас;True;98680
nice shampoo;76.78;729;cosmetics;Камбадос;True;43471
magnificent baby shampoo;92.12;981;cosmetics;Касерес;True;18545
nice lotion;85.49;884;cosmetics;Камбадос;True;85041
exquisite moisturizer;91.26;591;cosmetics;Гранада;False;48148
NVIDIA GeForce GTX 1050;97114;65;Прага;False;74782
refined nails;56.36;848;tools;Авилес;True;15360
trendy cherry;87.62;959;fruit;Монсон;True;69663
Intel Core i5;17283;70;Осера;True;40288
NVIDIA GeForce GTX 1050;31816;16;Валенсия;True;16317
glamorous paint;62.72;784;tools;Бильбао;True;59326
stylish boysenberry;45.97;840;fruit;Загреб;False;76955
delightful moustache wax;22.02;710;cosmetics;Тбилиси;True;92651
EVGA 500B 80+ BRONZE;10262;21;Краков;False;9856
nice hammer;56.52;775;tools;Навалькарнеро;False;23732
pleasant night cream;14.79;855;cosmetics;Семана;False;51903
Logitech Wireless Keyboard;16471;16;Алма-Ата;False;16916
Kingston Canvas Select Plus;73825;56;Вроцлав;True;66073
exquisite level;85.53;659;tools;Сантьяго-де-Компостела;True;97883
nice conditioner;18.3;519;cosmetics;Виго;False;66568
beautiful apricot;86.65;856;fruit;Бургос;True;27053
sublime shampoo;46.91;862;cosmetics;Овьедо;True;96979
stylish windows;52.2;927;tools;Мадрид;True;59339
amazing moisturizer;89.41;921;cosmetics;Мерида;True;7940
elegant strawberry;29.09;987;fruit;Лас-Росас;False;22782
gorgeous doors;34.44;922;tools;Сараево;False;78758
Samsung 970 EVO SSD;46980;71;Афины;False;22698
Razer Variau;96808;10;Минск;True;53920
pretty night cream;16.12;499;cosmetics;Бургос;False;12310
SteelSeries Arctis 7;18194;20;Трухильо;False;63264
pleasant boysenberry;65.14;861;fruit;Мерида;True;59150
Logitech Wireless Keyboard;64306;17;Загреб;True;84858
amazing paint;98.3;592;tools;Эльче;False;819
nice makeup remover;82.23;560;cosmetics;Касерес;False;18769
pleasant pineapple;56.55;706;fruit;Краков;True;14553
sublime ladder;23.68;930;tools;Мадрид;False;72103
glamorous level;32.77;875;tools;Тарраса;True;77723
luxurious tile;43.67;859;tools;Тбилиси;False;47729
luxurious baby shampoo;28.3;560;cosmetics;Будапешт;True;84639
tasteful insulation;85.11;835;tools;Лас-Росас;True;59980
beautiful nail file;52.19;773;cosmetics;Кордова;True;49946
attractive perfume;98.48;490;cosmetics;Осера;True;20881
amazing electrical;22.2;1021;tools;Бургос;True;18728
stylish peach;27.38;707;fruit;Эльче;True;7366
exquisite electrical;67.15;548;tools;Сория;True;27841
HP LaserJet Pro;16218;36;Ла-Корунья;False;17153
Canon PIXMA;73955;34;Кадакес;False;13491
Canon PIXMA;27747;52;Кишинев;True;41367
nice toothpaste;89.97;571;cosmetics;Минск;True;50806
Razer Variau;66451;69;Вальядолид;False;34958
