name;price;quantity;category;fromCity;isAvailable;views
beautiful guava;12.05;849;fruit;Хельсинки;False;22934
HP LaserJet Pro;36689;35;Эль-Пуэрто-де-Санта-Мария;True;61626
attractive scaffolding;74.95;928;tools;Валенсия;True;59368
exquisite manicure set;56.61;907;cosmetics;Овьедо;False;23570
Logitech Wireless Keyboard;91453;47;Ташкент;False;74855
Intel Core i5;97804;58;Трухильо;True;61094
delightful apple;87.01;837;fruit;Ла-Корунья;True;75644
luxurious grapes;73.31;610;fruit;Таллин;False;74295
superb hammer;50.31;751;tools;Трухильо;True;96334
amazing paint;35.93;778;tools;Тудела;True;27124
marvelous lotion;47.93;713;cosmetics;Пласенсия;False;13853
SteelSeries Arctis 7;97075;55;Кадакес;False;83835
Samsung 970 EVO SSD;90486;55;Осера;True;63006
Ricoh Aficio MP;51207;13;Рига;True;87821
superb moustache wax;76.28;757;cosmetics;Хихон;True;70787
beautiful shovel;80.32;949;tools;Льейда;False;8534
magnificent blueberry;14.22;839;fruit;Пласенсия;True;85829
amazing baseboard;32.58;542;tools;Вальядолид;False;66840
luxurious nail file;40.59;505;cosmetics;Барселона;False;68885
glamorous guava;17.52;713;fruit;Эль-Пуэрто-де-Санта-Мария;False;28419
superb manicure set;16.38;648;cosmetics;София;True;77705
refined bubble bath;40.33;965;cosmetics;Куэнка;False;21763
elegant nail polish;53.5;983;cosmetics;Семана;True;73161
magnificent banana;95.27;571;fruit;Бишкек;True;61817
nice pineapple;46.12;858;fruit;Вальядолид;True;53590
Kingston Canvas Select Plus;57832;38;Рига;False;98772
nice cherry;90.97;804;fruit;Сараево;False;89250
delightful grapes;83.03;484;fruit;Тудела;False;13751
trendy shovel;26.72;955;tools;Бургос;True;25125
elegant tile;66.52;594;tools;Варшава;False;40599
beautiful hammer;45.75;547;tools;Белград;False;74960
sublime apple;70.46;802;fruit;Кадакес;True;16778
beautiful blackberry;79.33;826;fruit;Подгорица;False;30024
stylish kiwifruit;19.18;780;fruit;Сантьяго-де-Компостела;True;5639
pretty orange;27.71;902;fruit;Прага;True;43355
beautiful siding;76.47;713;tools;Лас-Росас;True;15405
marvelous night cream;42.26;712;cosmetics;Лас-Росас;False;82157
magnificent moustache wax;98.76;740;cosmetics;Вроцлав;False;58568
gorgeous body wash;58.97;837;cosmetics;Киев;True;37341
beautiful body wash;57.8;674;cosmetics;Прага;True;35542
SteelSeries Arctis 7;10062;28;Варшава;False;75618
attractive raspberry;24.13;735;fruit;Мурсия;False;77321
attractive shovel;60.23;998;tools;Алькала-де-Энарес;False;85735
luxurious pedicure set;95.95;851;cosmetics;Пласенсия;False;9430
delightful bubble bath;78.01;491;cosmetics;Афины;True;94234
glamorous wheelbarrow;50.41;782;tools;Белград;True;64306
magnificent siding;20.94;607;tools;Сеговия;True;6464
elegant tape measure;10.29;655;tools;Виго;True;69972
WD Blue HDD;37430;22;Вальядолид;True;70746
superb lotion;72.14;683;cosmetics;Эль-Пуэрто-де-Санта-Мария;True;54532
amazing perfume;55.61;536;cosmetics;Куэнка;True;83917
AMD Ryzen 5;57085;27;Барселона;True;29546
luxurious wheelbarrow;85.08;965;tools;Сеговия;False;84110
Logitech Wireless Keyboard;70615;29;Луарка;True;69841
magnificent serum;78.12;590;cosmetics;Тирана;True;58106
trendy plumbing;59.49;851;tools;Фигерас;True;97185
Corsair HS60;67096;25;София;True;58755
EVGA 500B 80+ BRONZE;33715;77;Санкт-Петербург;True;37532
luxurious scaffolding;96.7;989;tools;Фигерас;False;66219
exquisite raspberry;76.75;535;fruit;Бургос;True;13477
HyperX DDR4 RAM;89697;41;София;False;46907
Ricoh Aficio MP;42169;40;Луго;True;13403
amazing siding;73.92;903;tools;Эль-Пуэрто-де-Санта-Мария;False;88590
exquisite hammer;12.04;563;tools;Сьюдад-Реаль;True;19217
nice kiwifruit;53.39;590;fruit;Сараево;False;82458
luxurious papaya;61.08;761;fruit;Санхенхо;False;98985
Logitech Wireless Keyboard;36345;71;Сория;False;28530
magnificent nail file;81.14;782;cosmetics;Сория;True;89763
pleasant shovel;92.34;898;tools;Санхенхо;False;86824
beautiful makeup remover;53.28;595;cosmetics;Скопье;True;21490
exquisite moisturizer;35.84;633;cosmetics;Луго;False;68432
superb conditioner;45.23;773;cosmetics;Санхенхо;False;41304
sublime exfoliator;84.81;823;cosmetics;Льейда;True;19712
refined eye cream;39.89;472;cosmetics;Осера;True;9884
Samsung 970 EVO SSD;75867;16;Сория;True;22598
superb windows;68.17;868;tools;Будапешт;True;60436
exquisite face wash;24.35;878;cosmetics;Камбадос;True;27796
HyperX DDR4 RAM;83288;25;Кадакес;True;38089
stylish orange;71.54;690;fruit;Хихон;True;11175
Samsung 970 EVO SSD;88987;54;София;True;20310
beautiful banana;66.56;979;fruit;Загреб;True;27752
marvelous moustache wax;64.59;654;cosmetics;Аликанте;True;74500
stylish blueberry;87.01;796;fruit;Махадаонда;True;32167
pleasant screws;48.09;918;tools;Льейда;False;96308
luxurious exfoliator;77.61;970;cosmetics;Эльче;False;9511
Kingston Canvas Select Plus;91787;17;Куэнка;True;26407
marvelous face wash;58.3;607;cosmetics;Касерес;False;18083
beautiful screws;19.58;521;tools;Фигерас;False;13561
beautiful boysenberry;95.1;538;fruit;Рига;True;57355
Kingston Canvas Select Plus;87379;36;Мартоса;True;34997
EVGA 500B 80+ BRONZE;79016;73;Хихон;True;39464
beautiful shovel;87.01;915;tools;Монсон;False;68720
Corsair HS60;42019;41;Алькала-де-Энарес;False;5652
gorgeous perfume;30.63;874;cosmetics;Тарраса;True;14440
pleasant peach;16.14;863;fruit;София;False;50095
Brother DCP-T510W;83973;41;Тудела;True;73158
Razer Variau;31140;24;Сараево;True;83883
pretty tile;67.98;781;tools;София;True;70152
Corsair HS60;19267;54;Алькала-де-Энарес;False;65483
glamorous plum;27.2;741;fruit;Самора;True;77046
Brother DCP-T510W;20882;22;Баку;True;26948
EVGA 500B 80+ BRONZE;49738;26;Тудела;True;17667
Samsung 970 EVO SSD;44814;17;Вильявисиоса;True;51401
Logitech Wireless Keyboard;29302;35;Трухильо;False;73351
HP LaserJet Pro;21765;51;Вильнюс;False;63438
luxurious toner;47.84;928;cosmetics;Любляна;True;61388
pleasant grapes;78.53;597;fruit;Загреб;False;54030
NVIDIA GeForce GTX 1050;93616;15;Сан-Себастьян;False;10401
AMD Ryzen 5;48030;68;Мартоса;True;82159
trendy toner;87.69;883;cosmetics;Москва;True;92191
pretty baseboard;26.28;661;tools;Варшава;True;27786
glamorous manicure set;86.26;695;cosmetics;Тбилиси;False;79657
trendy ladder;17.78;957;tools;Тарраса;True;86294
amazing kiwifruit;13.18;736;fruit;Тбилиси;True;27964
luxurious scaffolding;40.95;509;tools;Эльче;True;21857
attractive wheelbarrow;68.48;857;tools;Семана;True;31792
beautiful sunscreen;35.4;706;cosmetics;Бургос;False;56177
gorgeous plumbing;75.78;1029;tools;Барселона;False;24558
Canon PIXMA;24808;39;Картахена;True;90742
HP LaserJet Pro;32576;36;Тирана;False;92700
glamorous papaya;11.75;897;fruit;Луарка;False;64635
refined lip balm;13.12;549;cosmetics;Загреб;True;79621
luxurious doors;80.22;534;tools;Семана;True;80456
HyperX DDR4 RAM;98976;52;Москва;True;27602
delightful manicure set;78.98;990;cosmetics;Тудела;False;36196
pleasant wallpaper;61.62;864;tools;Луго;False;40913
glamorous moisturizer;77.59;492;cosmetics;Загреб;False;48615
attractive plum;36.59;846;fruit;София;True;37542
Brother DCP-T510W;44112;51;Бургос;False;16751
delightful wallpaper;26.28;520;tools;Тирана;False;77042
delightful peach;88.62;702;fruit;Овьедо;True;71422
elegant strawberry;25.68;519;fruit;Санкт-Петербург;False;21676
attractive toothpaste;38.88;991;cosmetics;Вильявисиоса;False;59420
luxurious axe;99.44;764;tools;Мурсия;False;29686
Kingston Canvas Select Plus;82175;65;Афины;True;62723
sublime blueberry;94.77;835;fruit;Алькала-де-Энарес;True;74480
elegant papaya;59.58;1017;fruit;Вальядолид;False;29896
amazing axe;81.52;683;tools;Мадрид;True;59619
marvelous cherry;86.81;849;fruit;Малага;True;58321
glamorous apple;43.62;638;fruit;Льейда;True;5330
tasteful blackberry;50.32;940;fruit;Краков;True;69239
delightful tile;63.05;990;tools;Сантьяго-де-Компостела;True;77910
HyperX DDR4 RAM;96020;66;Бильбао;True;93734
delightful lotion;16.02;706;cosmetics;Семана;False;96967
NVIDIA GeForce GTX 1050;11237;34;Бильбао;True;8502
Samsung 970 EVO SSD;67163;26;Артейхо;True;54376
marvelous paint;86.07;580;tools;Таллин;True;47035
HP LaserJet Pro;20231;50;Валенсия;False;78335
superb strawberry;72.76;952;fruit;Тирана;False;8334
delightful pedicure set;86.69;952;cosmetics;Картахена;False;1518
Corsair HS60;14856;58;Осера;True;34702
Brother DCP-T510W;37613;39;Белград;True;68902
pleasant perfume;32.02;621;cosmetics;Льейда;False;18989
Logitech Wireless Keyboard;69568;21;Сеговия;False;12838
Brother DCP-T510W;92890;15;Артейхо;True;17253
exquisite hammer;91.36;707;tools;Навалькарнеро;False;34386
Brother DCP-T510W;31999;43;Хихон;False;12712
magnificent perfume;80.71;516;cosmetics;Мерида;True;88541
luxurious eye cream;66.0;635;cosmetics;Картахена;False;75082
NVIDIA GeForce GTX 1050;42890;53;Куэнка;True;59199
EVGA 500B 80+ BRONZE;55910;61;Навалькарнеро;False;62048
sublime glue;23.24;991;tools;Афины;True;1420
nice toothpaste;32.61;618;cosmetics;Таллин;True;86725
pleasant lotion;67.36;546;cosmetics;Загреб;True;87487
NVIDIA GeForce GTX 1050;53554;17;Бургос;False;80625
luxurious shampoo;80.85;916;cosmetics;Сория;True;19709
superb eye cream;53.63;940;cosmetics;Тбилиси;False;82658
pleasant lip balm;34.6;731;cosmetics;Ла-Корунья;False;78291
Canon PIXMA;87886;59;Эль-Пуэрто-де-Санта-Мария;True;75471
marvelous nail file;33.11;724;cosmetics;София;False;68061
nice apple;11.83;587;fruit;Мерида;True;93265
HP LaserJet Pro;99013;51;Бильбао;False;13961
trendy blueberry;21.03;764;fruit;Хихон;True;70601
Canon PIXMA;28434;51;Семана;True;94492
pleasant body wash;49.2;533;cosmetics;Бланес;False;12700
EVGA 500B 80+ BRONZE;61489;30;Севилья;True;4440
pretty baby shampoo;80.13;591;cosmetics;Рига;False;55421
superb siding;87.3;601;tools;Бишкек;True;71287
Intel Core i5;91814;59;Куэнка;True;5293
amazing serum;76.88;602;cosmetics;Москва;False;34757
Brother DCP-T510W;85316;22;Куэнка;False;99815
gorgeous sunscreen;49.73;503;cosmetics;Луго;True;23038
magnificent chisel;31.84;722;tools;Виго;True;32975
EVGA 500B 80+ BRONZE;19763;40;Прага;False;93078
sublime night cream;56.5;1005;cosmetics;Хельсинки;True;18149
AMD Ryzen 5;27532;11;Бишкек;False;42672
Epson Expression Home XP;56462;14;Артейхо;False;98861
marvelous exfoliator;84.39;687;cosmetics;Тарраса;True;18226
delightful baby shampoo;95.34;856;cosmetics;Таллин;True;62550
marvelous conditioner;17.66;1013;cosmetics;Сантьяго-де-Компостела;True;91521
Logitech Wireless Keyboard;61257;51;Овьедо;False;16943
attractive insulation;31.64;794;tools;Монсон;False;62458
trendy exfoliator;21.41;974;cosmetics;Афины;False;83233
HP LaserJet Pro;85436;53;Касерес;False;32903
magnificent doors;79.07;819;tools;Мадрид;False;17188
magnificent sunscreen;98.76;525;cosmetics;Мартоса;False;32292
refined level;99.42;741;tools;Фигерас;True;43472
gorgeous toner;23.87;933;cosmetics;Бургос;True;34971
delightful tile;44.69;634;tools;Бургос;True;84360
luxurious baseboard;45.79;850;tools;Хельсинки;True;44311
delightful wallpaper;25.06;537;tools;Сан-Себастьян;True;59360
stylish face wash;29.76;695;cosmetics;Санхенхо;True;44326
Brother DCP-T510W;89296;17;Афины;False;1196
attractive flooring;76.51;464;tools;Артейхо;True;12549
Kingston Canvas Select Plus;53293;27;Мадрид;False;30612
magnificent nails;73.26;816;tools;Вильявисиоса;False;35951
delightful body wash;11.41;909;cosmetics;Кордова;False;71222
glamorous raspberry;58.86;687;fruit;Малага;False;46092
refined drywall;82.66;524;tools;Сан-Себастьян;False;6805
WD Blue HDD;96594;54;Аликанте;False;69033
trendy conditioner;61.04;536;cosmetics;Хихон;False;97852
Epson Expression Home XP;92852;64;Бишкек;True;93028
glamorous banana;60.11;942;fruit;Хихон;True;68437
NVIDIA GeForce GTX 1050;31217;54;Рига;True;20010
amazing plumbing;63.11;509;tools;Осера;True;21650
delightful chisel;65.64;765;tools;Пласенсия;True;5288
attractive scaffolding;69.14;951;tools;Севилья;True;90087
nice orange;40.04;754;fruit;Астана;True;37733
magnificent pedicure set;19.48;818;cosmetics;Варшава;True;46614
stylish tile;11.09;609;tools;Картахена;True;84052
Canon PIXMA;22679;37;Барселона;True;38196
exquisite flooring;96.8;576;tools;Семана;False;80129
HP LaserJet Pro;81364;12;Махадаонда;True;62608
magnificent makeup remover;76.62;877;cosmetics;Санхенхо;False;58435
WD Blue HDD;41660;46;Рига;True;67120
