name;method;param
SteelSeries Arctis 7;quantity_sub;-12
EVGA 500B 80+ BRONZE;remove;
tasteful cherry;price_percent;-0.07
Razer Variau;quantity_add;2
HP LaserJet Pro;available;True
NVIDIA GeForce GTX 1050;remove;
beautiful nails;quantity_sub;-161
Brother DCP-T510W;remove;
refined nail polish;available;True
exquisite pineapple;quantity_add;114
Kingston Canvas Select Plus;price_percent;0.04
stylish body wash;quantity_sub;-73
elegant cranberry;remove;
Razer Variau;quantity_add;4
superb moustache wax;price_abs;-5
superb papaya;price_abs;-17
marvelous plum;quantity_sub;-31
exquisite cherry;quantity_sub;-87
exquisite serum;price_abs;-6
Razer Variau;quantity_add;2
amazing chisel;remove;
glamorous sunscreen;price_percent;0.12
tasteful wallpaper;quantity_add;24
gorgeous papaya;price_abs;-15
magnificent facial cleanser;quantity_add;118
Corsair HS60;available;True
magnificent boysenberry;price_percent;0.02
sublime nail file;quantity_sub;-66
beautiful nails;remove;
beautiful guava;quantity_add;9
marvelous plum;price_abs;3
Intel Core i5;remove;
delightful conditioner;available;True
Brother DCP-T510W;price_percent;0.06
Kingston Canvas Select Plus;quantity_sub;-2
beautiful kiwifruit;quantity_sub;-60
pretty screws;price_percent;-0.15
Epson Expression Home XP;price_abs;38659.5
refined nail polish;quantity_add;58
Epson Expression Home XP;price_percent;0.1
refined shampoo;quantity_add;96
superb moustache wax;price_abs;0
Canon PIXMA;quantity_sub;-3
Intel Core i5;price_abs;-17840
stylish kiwifruit;price_abs;6
exquisite drywall;quantity_add;25
exquisite shovel;quantity_sub;-94
stylish cherry;quantity_sub;-96
HyperX DDR4 RAM;price_abs;-3623
magnificent blackberry;quantity_add;62
trendy paint;remove;
marvelous plumbing;quantity_add;49
pretty glue;available;True
HP LaserJet Pro;quantity_sub;-3
stylish body wash;quantity_sub;-83
refined raspberry;price_percent;0.17
tasteful siding;quantity_add;142
NVIDIA GeForce GTX 1050;price_percent;0.0
attractive flooring;available;False
exquisite sunscreen;quantity_add;134
pretty glue;remove;
Logitech Wireless Keyboard;quantity_add;6
exquisite screws;price_abs;-16
Kingston Canvas Select Plus;price_percent;0.1
marvelous banana;quantity_add;31
Kingston Canvas Select Plus;available;True
marvelous nail file;remove;
Ricoh Aficio MP;quantity_sub;-5
exquisite drywall;price_abs;-3
HP LaserJet Pro;price_percent;-0.04
exquisite shovel;quantity_sub;-2
exquisite shovel;price_percent;-0.07
tasteful wallpaper;quantity_sub;-136
