name;price;quantity;fromCity;isAvailable;views
AMD Ryzen 5;88135;39;Бишкек;True;2949
marvelous melon;67.11;860;fruit;Авилес;False;20790
delightful nail file;25.89;872;cosmetics;Алма-Ата;False;63994
marvelous lotion;94.32;537;cosmetics;Виго;True;8090
NVIDIA GeForce GTX 1050;62223;65;Киев;True;39141
luxurious chisel;85.97;615;tools;Луго;True;13822
stylish scaffolding;43.73;665;tools;Гранада;True;89436
refined insulation;85.51;711;tools;Севилья;False;66631
nice windows;14.04;936;tools;Варшава;True;74159
Epson Expression Home XP;82874;46;Овьедо;True;65408
tasteful plum;10.95;913;fruit;Вальядолид;True;47824
HyperX DDR4 RAM;65007;70;Ла-Корунья;False;51893
Brother DCP-T510W;67792;18;Сеговия;False;77080
stylish paint;75.46;520;tools;Мурсия;True;9310
Logitech Wireless Keyboard;73664;23;Овьедо;False;54590
superb siding;64.22;820;tools;Бланес;True;64175
Kingston Canvas Select Plus;42782;30;Белград;True;11504
gorgeous pedicure set;72.78;757;cosmetics;Вальядолид;True;68832
Kingston Canvas Select Plus;94941;34;Варшава;False;97880
tasteful pineapple;17.85;620;fruit;Сантьяго-де-Компостела;True;98937
elegant wallpaper;36.99;671;tools;Луго;True;66716
exquisite blueberry;12.52;969;fruit;Афины;True;79117
Ricoh Aficio MP;93886;71;Куэнка;False;7843
superb blackberry;70.86;862;fruit;Семана;False;60163
refined manicure set;45.08;995;cosmetics;Алма-Ата;True;33310
gorgeous night cream;94.47;563;cosmetics;Афины;False;17214
trendy papaya;89.77;599;fruit;Ереван;True;233
Razer Variau;49685;53;Валенсия;False;87932
elegant roofing;72.3;676;tools;Мерида;True;99885
magnificent exfoliator;11.93;555;cosmetics;Душанбе;False;66376
magnificent tape measure;22.97;729;tools;Вильявисиоса;False;90953
Samsung 970 EVO SSD;96937;19;Москва;True;87692
stylish night cream;84.22;805;cosmetics;Сория;False;93141
amazing drywall;81.22;909;tools;Трухильо;True;33996
nice perfume;85.94;640;cosmetics;Хихон;False;90897
luxurious mango;98.83;556;fruit;Аликанте;False;32769
elegant glue;91.05;677;tools;Ташкент;False;95993
attractive cherry;55.11;808;fruit;Хельсинки;True;10580
magnificent nails;33.75;584;tools;Кордова;True;52097
refined saw;37.19;747;tools;Луго;True;42720
sublime boysenberry;11.4;659;fruit;Кишинев;False;14841
stylish axe;81.63;663;tools;Загреб;False;68911
gorgeous saw;30.0;854;tools;Гранада;True;48797
pleasant shovel;76.9;713;tools;Барселона;True;47883
superb hammer;28.47;779;tools;Осера;True;61057
nice baseboard;99.72;679;tools;Москва;False;1537
attractive kiwifruit;47.61;944;fruit;Рига;False;27456
elegant shampoo;77.34;608;cosmetics;Тбилиси;False;9717
elegant exfoliator;43.34;718;cosmetics;Белград;False;80435
NVIDIA GeForce GTX 1050;81890;56;София;True;65171
Kingston Canvas Select Plus;64934;64;Бишкек;False;53545
superb hair mask;31.78;940;cosmetics;Севилья;False;90842
luxurious blackberry;54.81;778;fruit;Малага;False;93007
HP LaserJet Pro;54750;67;Сьюдад-Реаль;True;46708
Intel Core i5;92740;37;Эльче;False;57268
gorgeous deodorant;18.39;859;cosmetics;Москва;False;73972
sublime hammer;69.28;997;tools;Касерес;True;87813
Samsung 970 EVO SSD;96471;56;Самора;True;18004
delightful shampoo;86.32;883;cosmetics;Мартоса;False;67833
Epson Expression Home XP;80658;22;Кордова;False;68252
pretty saw;12.8;624;tools;Вроцлав;False;68363
stylish insulation;29.33;956;tools;Льейда;True;98488
SteelSeries Arctis 7;42638;44;Хельсинки;True;53450
NVIDIA GeForce GTX 1050;20579;64;Сьюдад-Реаль;True;28934
Razer Variau;99064;48;Эльче;False;91536
amazing papaya;37.1;729;fruit;Санхенхо;False;32507
gorgeous makeup remover;55.81;704;cosmetics;Загреб;True;32090
magnificent bubble bath;53.47;601;cosmetics;Самора;True;48719
pleasant hammer;25.6;767;tools;Сория;True;96866
