name;price;quantity;fromCity;isAvailable;views
HyperX DDR4 RAM;24248;21;Таллин;True;94663
luxurious shampoo;97.38;921;cosmetics;Камбадос;True;94970
exquisite manicure set;99.6;636;cosmetics;Осера;True;92974
HP LaserJet Pro;43404;65;София;False;95707
amazing perfume;30.89;561;cosmetics;Белград;True;44993
refined blackberry;30.04;765;fruit;Бургос;False;81797
elegant apricot;35.93;677;fruit;Вальядолид;True;54670
beautiful cherry;81.23;868;fruit;Малага;False;11852
delightful deodorant;36.82;901;cosmetics;Трухильо;False;15804
refined doors;33.32;696;tools;Кадакес;True;66663
amazing papaya;58.92;887;fruit;Ла-Корунья;True;59574
Epson Expression Home XP;50998;67;Гранада;True;28586
luxurious banana;63.53;1016;fruit;Семана;True;69462
sublime wallpaper;64.37;560;tools;Сараево;True;74770
pretty glue;19.52;924;tools;Кордова;False;5465
magnificent apricot;58.2;616;fruit;Минск;True;93811
delightful nail file;85.67;528;cosmetics;София;True;67868
amazing nail file;30.61;637;cosmetics;Хельсинки;False;64704
luxurious pedicure set;78.08;777;cosmetics;Хельсинки;True;5238
stylish axe;73.71;690;tools;Сория;False;98183
NVIDIA GeForce GTX 1050;72027;76;Подгорица;False;15653
elegant chisel;90.93;1000;tools;Ташкент;True;57100
Epson Expression Home XP;15521;71;Мерида;True;88677
nice tape measure;20.94;545;tools;Сеговия;False;85563
exquisite cherry;73.67;614;fruit;Краков;True;27000
pretty serum;87.28;744;cosmetics;Бланес;True;51300
Brother DCP-T510W;62046;11;Вальядолид;False;94013
EVGA 500B 80+ BRONZE;63119;56;Хихон;False;32901
marvelous kiwifruit;31.2;757;fruit;Лас-Росас;False;67169
Canon PIXMA;31290;63;Варшава;True;17907
exquisite baseboard;43.32;907;tools;Любляна;True;95595
exquisite lotion;16.19;770;cosmetics;Авилес;True;22259
Samsung 970 EVO SSD;96382;17;Прага;True;75252
delightful tile;54.09;579;tools;Мадрид;True;70989
Intel Core i5;14782;67;Сеговия;False;61000
stylish windows;17.51;754;tools;Мурсия;False;86352
marvelous eye cream;13.68;535;cosmetics;Хихон;False;54745
glamorous orange;75.07;754;fruit;Мурсия;True;60937
nice wallpaper;44.94;893;tools;Мартоса;False;75907
amazing body wash;36.27;538;cosmetics;Фигерас;False;89549
delightful hair mask;37.5;788;cosmetics;Семана;False;27194
marvelous strawberry;59.13;596;fruit;Мадрид;False;91431
amazing manicure set;98.41;804;cosmetics;Овьедо;False;20661
refined siding;93.86;542;tools;Москва;True;84993
trendy blackberry;76.26;530;fruit;Тарраса;False;91327
Brother DCP-T510W;51271;12;Загреб;True;15224
gorgeous plum;78.25;880;fruit;Картахена;True;15217
NVIDIA GeForce GTX 1050;94498;71;Луго;False;970
superb moisturizer;56.2;740;cosmetics;Мерида;True;69799
EVGA 500B 80+ BRONZE;83035;10;Алма-Ата;True;4968
pleasant baseboard;88.51;914;tools;Бланес;False;62990
HP LaserJet Pro;61496;41;Мурсия;False;77007
stylish deodorant;67.1;735;cosmetics;Тарраса;True;43610
beautiful ladder;81.93;789;tools;Варшава;False;54368
elegant perfume;51.12;634;cosmetics;Алькала-де-Энарес;True;18710
marvelous pedicure set;85.67;855;cosmetics;Валенсия;True;13928
nice grapes;85.39;608;fruit;Аликанте;False;36714
pretty orange;66.95;517;fruit;Бильбао;True;16289
sublime plumbing;15.72;719;tools;Кадакес;False;64920
HP LaserJet Pro;24717;54;Краков;True;73156
HyperX DDR4 RAM;29692;34;Камбадос;True;85016
SteelSeries Arctis 7;29106;24;Скопье;False;66569
attractive hammer;54.71;705;tools;Санкт-Петербург;True;57919
glamorous nail file;47.62;895;cosmetics;Луго;True;35256
SteelSeries Arctis 7;95388;14;Картахена;False;5199
